name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Connolly,FWD,Brighton,5,True,1,55,45,1,,,,,,,,4
Aaron Connolly,FWD,Brighton,14,False,2,55,89,8,1.0,45.0,3.4,1.0,1.0,0.0,2.0,2
Aaron Connolly,FWD,Brighton,13,True,3,55,73,2,4.5,67.0,5.15,8.0,4.5,3.0,1.0,4
Aaron Connolly,FWD,Brighton,7,False,4,55,65,2,3.6666666666666665,69.0,4.066666666666667,2.0,3.6666666666666665,1.0,2.6666666666666665,3
Aaron Connolly,FWD,Brighton,6,False,5,55,12,4,3.25,68.0,3.225,2.0,3.25,1.75,1.25,3
Aaron Connolly,FWD,Brighton,18,True,6,55,0,0,4.0,59.75,3.125,4.0,3.4,2.5,1.25,2
Aaron Connolly,FWD,Brighton,17,False,7,55,0,0,2.0,37.5,1.4,0.0,2.8333333333333335,1.25,2.75,4
Aaron Connolly,FWD,Brighton,4,True,8,54,4,1,1.5,19.25,0.9249999999999999,0.0,2.4285714285714284,1.75,0.25,2
Aaron Connolly,FWD,Brighton,2,False,9,54,0,0,1.25,4.0,0.75,1.0,2.25,1.75,1.75,3
Aaron Connolly,FWD,Brighton,11,True,10,53,62,2,0.25,1.0,0.0,0.0,2.0,0.75,2.0,4
Aaron Connolly,FWD,Brighton,16,True,11,53,63,2,0.75,16.5,1.0,2.0,2.0,1.75,2.25,2
Aaron Connolly,FWD,Brighton,9,False,12,53,28,1,1.25,32.25,1.95,2.0,2.0,1.5,1.0,4
Aaron Connolly,FWD,Brighton,8,False,13,53,0,0,1.25,38.25,2.0,1.0,1.9166666666666667,1.75,1.25,2
Aaron Connolly,FWD,Brighton,15,True,14,53,90,2,1.25,38.25,2.0,0.0,1.7692307692307692,2.25,0.75,2
Aaron Connolly,FWD,Brighton,19,False,15,53,0,0,1.25,45.25,2.2,2.0,1.7857142857142858,2.0,1.0,4
Aaron Connolly,FWD,Brighton,1,True,16,53,0,0,0.75,29.5,1.25,0.0,1.6666666666666667,1.25,1.25,3
Aaron Connolly,FWD,Brighton,20,True,17,52,45,5,0.5,22.5,1.2,0.0,1.5625,1.25,1.0,2
Aaron Connolly,FWD,Brighton,12,False,18,52,0,0,1.75,33.75,3.375,5.0,1.7647058823529411,0.5,1.75,5
Aaron Connolly,FWD,Brighton,10,False,19,52,0,0,1.25,11.25,2.175,0.0,1.6666666666666667,2.25,2.0,3
Aaron Connolly,FWD,Brighton,8,True,20,52,0,0,1.25,11.25,2.175,0.0,1.5789473684210527,0.75,0.5,2
Aaron Connolly,FWD,Brighton,17,True,21,52,11,1,1.25,11.25,2.175,0.0,1.5,1.25,2.0,3
Aaron Connolly,FWD,Brighton,11,False,22,52,7,1,0.25,2.75,0.475,1.0,1.4761904761904763,0.75,1.5,3
Aaron Connolly,FWD,Brighton,4,False,23,52,61,2,0.5,4.5,0.525,1.0,1.4545454545454546,1.75,0.75,2
Aaron Connolly,FWD,Brighton,2,True,24,52,0,0,1.0,19.75,0.8999999999999999,2.0,1.4782608695652173,1.5,1.25,2
Aaron Connolly,FWD,Brighton,6,True,25,52,0,0,1.0,19.75,0.8999999999999999,0.0,1.4166666666666667,1.5,0.75,2
Aaron Connolly,FWD,Brighton,18,False,26,52,60,2,0.75,17.0,0.425,0.0,1.36,1.25,0.5,2
Aaron Connolly,FWD,Brighton,9,True,27,52,0,0,1.0,30.25,1.375,2.0,1.3846153846153846,1.25,1.5,4
Aaron Connolly,FWD,Brighton,16,False,28,52,0,0,0.5,15.0,1.0,0.0,1.3333333333333333,1.0,1.0,2
Aaron Connolly,FWD,Brighton,14,True,29,52,0,0,0.5,15.0,1.0,0.0,1.2857142857142858,1.25,0.75,2
Aaron Connolly,FWD,Brighton,13,False,30,52,0,0,0.5,15.0,1.0,0.0,1.2413793103448276,0.25,1.5,4
Aaron Connolly,FWD,Brighton,7,True,31,52,0,0,0.0,0.0,0.0,0.0,1.2,1.25,0.75,4
Aaron Connolly,FWD,Brighton,5,False,32,52,0,0,0.0,0.0,0.0,0.0,1.1612903225806452,1.5,2.0,4
Aaron Connolly,FWD,Brighton,15,False,33,52,23,1,0.0,0.0,0.0,0.0,1.125,2.75,0.25,2
Aaron Connolly,FWD,Brighton,10,True,34,52,0,0,0.25,5.75,0.25,1.0,1.121212121212121,0.75,1.25,3
Aaron Connolly,FWD,Brighton,20,False,35,52,0,0,0.25,5.75,0.25,0.0,1.088235294117647,1.25,0.75,3
Aaron Connolly,FWD,Brighton,19,True,36,52,0,0,0.25,5.75,0.25,0.0,1.0571428571428572,1.5,1.0,4
