GW,heuristic_captain,heuristic_captain_pts,heuristic_captain_pts_doubled,best_possible_captain,best_possible_pts,best_possible_pts_doubled,field_average_pts,eligible_pool_size
2,Bruno Miguel Borges Fernandes,1,2,Michail Antonio,16,32,3.1121076233183858,223
3,Michail Antonio,11,22,Ferran Torres,18,36,2.7532467532467533,231
4,Michail Antonio,-1,-2,Fernando Marçal,13,26,2.9411764705882355,221
5,Cristiano Ronaldo dos Santos Aveiro,6,12,Ismaila Sarr,15,30,2.6493506493506493,231
6,Cristiano Ronaldo dos Santos Aveiro,2,4,José Malheiro de Sá,14,28,2.6973684210526314,228
7,Jamie Vardy,8,16,Hee-Chan Hwang,13,26,2.457777777777778,225
8,Mohamed Salah,13,26,Angelo Ogbonna,15,30,2.7096774193548385,217
9,Mohamed Salah,24,48,Mohamed Salah,24,48,2.444933920704846,227
10,Mohamed Salah,5,10,Gabriel Magalhães,15,30,2.5770925110132157,227
11,Mohamed Salah,5,10,João Pedro Cavaco Cancelo,14,28,2.734234234234234,222
12,Mohamed Salah,8,16,Trent Alexander-Arnold,15,30,2.959090909090909,220
13,Reece James,1,2,James Maddison,16,32,2.994818652849741,193
14,Reece James,0,0,Mohamed Salah,15,30,2.720183486238532,218
15,Trent Alexander-Arnold,9,18,Ezri Konsa Ngoyo,17,34,2.45,220
16,Mohamed Salah,8,16,James Maddison,16,32,2.883495145631068,206
17,Mohamed Salah,8,16,Romain Saïss,15,30,2.682634730538922,167
18,Mason Mount,3,6,João Pedro Cavaco Cancelo,18,36,3.337078651685393,89
19,James Maddison,10,20,Lucas Rodrigues Moura da Silva,17,34,2.6540880503144653,159
20,Riyad Mahrez,0,0,Kasper Schmeichel,15,30,2.3225806451612905,155
21,Heung-Min Son,6,12,Jarrod Bowen,16,32,2.6710526315789473,228
22,Jarrod Bowen,7,14,Jack Harrison,20,40,2.1776061776061777,259
23,Jarrod Bowen,2,4,João Filipe Iria Santos Moutinho,13,26,2.525096525096525,259
24,Jack Harrison,2,4,Diogo Jota,16,32,2.5277777777777777,216
25,Jarrod Bowen,13,26,Raheem Sterling,18,36,2.9523809523809526,231
26,Andrew Robertson,0,0,Mohamed Salah,18,36,2.629283489096573,321
27,Raheem Sterling,3,6,Matthew Cash,14,28,2.9565217391304346,207
28,Hakim Ziyech,0,0,Kevin De Bruyne,18,36,2.7899686520376177,319
29,Matthew Cash,1,2,Cristiano Ronaldo dos Santos Aveiro,17,34,2.8282828282828283,297
30,Matthew Cash,2,4,Heung-Min Son,15,30,2.311111111111111,90
31,Harry Kane,4,8,Joachim Andersen,15,30,2.6746031746031744,252
32,Ivan Toney,12,24,Heung-Min Son,21,42,2.892703862660944,233
33,Heung-Min Son,3,6,Mohamed Salah,19,38,2.75531914893617,282
34,Heung-Min Son,3,6,Andrew Robertson,15,30,2.86046511627907,258
35,Heung-Min Son,19,38,Heung-Min Son,19,38,2.656387665198238,227
36,Gabriel Fernando de Jesus,2,4,Kevin De Bruyne,24,48,2.8065395095367847,367
37,Heung-Min Son,3,6,James Maddison,15,30,2.275,280
38,Heung-Min Son,12,24,Dejan Kulusevski,16,32,2.685589519650655,229
